,Show_Number,Air_Date,Round,Category,Value,Question,Answer,Float_Value,,
59245,3710,2000-10-20,Double Jeopardy!,THE SPHINX,$800,"The Great Sphinx is probably a likeness of King Khafre, son of this pyramid builder",Khufu (Cheops),800,,
59328,5107,2006-11-21,Jeopardy!,STONEHENGE,$600,One legend says that this magician who helped King Arthur used his powers to build Stonehenge,Merlin,600,,
59409,621,1987-04-27,Double Jeopardy!,THE BIBLE,$600,"In the King James Bible, ""They shall beat their swords into plowshares &"" these ""into pruninghooks""",their spears,600,,
59574,5302,2007-10-02,Double Jeopardy!,THE SCINTALLATING 1700s,$400,The future King George II lost his marbles over Henrietta Howard & gave her Marble Hill House on this river,the Thames,400,,
59767,2776,1996-09-30,Double Jeopardy!,THE 11th CENTURY,$600,In 1057 this King of Scotland was killed in battle by Malcolm Canmore,Macbeth,600,,
59913,2891,1997-03-10,Jeopardy!,HISTORIC HOMES,$300,"Hulihee Palace on this large island was once the summer home of monarchs, including King Kalakaua",Hawaii,300,,
59948,2891,1997-03-10,Double Jeopardy!,WORLD GEOGRAPHY,"$1,000","The King George VI falls drop 1,600 feet in this small South American country",Guyana,1000,,
60431,3000,1997-09-19,Double Jeopardy!,LOOK TO THE FUTURE,"$3,500","Legend says his tomb reads ""Rex Quondum, Rexque Futurus"", ""The Once And Future King""",King Arthur,3500,,
60435,3000,1997-09-19,Double Jeopardy!,3000,$1000,"1 Kings tells us this king spoke 3,000 proverbs; only a fraction appear in Proverbs",Solomon,1000,,
60647,2340,1994-11-04,Jeopardy!,HISTORY,$500,"In 751 Pepin the Short's title was changed from ""Mayor of the Palace"" to ""King of"" these people",the Franks,500,,
60677,2340,1994-11-04,Double Jeopardy!,FAMOUS TAYLORS,$1000,"She gave us the generational saga of ""Captains and the Kings""",(Janet) Taylor Caldwell,1000,,
60754,5262,2007-06-26,Jeopardy!,NEW HAMPSHIRE,$600,In April 1963 Gov. John King signed the bill allowing one of these games in the state,the lottery,600,,
60914,4686,2005-01-10,Double Jeopardy!,"CATCHING SOME ""ZZ""s",$1600,He's the conqueror of Jerusalem mentioned in II Kings 24,Nebuchadnezzar,1600,,
60919,4686,2005-01-10,Double Jeopardy!,OLD NAMES ON THE MAP,$2000,"What's now Kaliningrade, Russia was the capital of East Prussia under this name meaning ""King's Mountain""",Königsberg,2000,,
61031,5927,2010-05-25,Double Jeopardy!,EUROPEAN ARTISTS,$1600,"This Cretan's 1582 work ""Martyrdom of St. Maurice"" was his last commission from Spain's King Philip II",El Greco,1600,,
61317,3442,1999-07-20,Double Jeopardy!,MYTHOLOGY,$400,Some say she was detained by King Proteus & that the woman taken to Troy was a phantom made to look like her,Helen,400,,
61425,2914,1997-04-10,Jeopardy!,THE 1990s,$500,In 1996 King Bhumibol Adulyadej of this country celebrated his 50th year on the throne,Thailand,500,,
61574,3048,1997-11-26,Double Jeopardy!,THE BIBLE,$800,This future king of Israel was summoned to soothe King Saul with his harp playing,David,800,,
61581,3048,1997-11-26,Double Jeopardy!,19th CENTURY OPERA,$1000,"""Un Ballo En Maschera"" dramatizes the assassination of this country's King Gustavus III at a masked ball",Sweden,1000,,
61632,5531,2008-09-29,Double Jeopardy!,SAY CHEESE!,$1600,"Danbo, a cheese originally from this country, is also known as King Christian IX when made with caraway seeds",Denmark,1600,,
61760,5006,2006-05-22,Double Jeopardy!,SIBLING REVELRY,$2000,"Dingane became King of the Zulus in 1828 after taking part in the murder of this king, his own brother",Shaka,2000,,
61810,3469,1999-10-07,Double Jeopardy!,SAINTS,$600,"St. Margaret, a patriarch of this country, died in 1093, soon after her husband King Malcolm",Scotland,600,,
61888,5823,2009-12-30,Jeopardy!,THE PULITZER FOR BIOGRAPHY/ AUTOBIOGRAPHY,$400,"1970: T. Harry Williams, writing about this Louisiana ""Kingfish""",Huey Long,400,,
61917,5823,2009-12-30,Double Jeopardy!,CROWN PLAZA,$800,King Abdullah bin Abdul Aziz reversed policy & allowed foreign fighters in this country in 1990,Saudi Arabia,800,,
62118,4489,2004-02-26,Jeopardy!,THE NATIONAL CIVIL RIGHTS MUSEUM,$200,"(Sarah of the Clue Crew in Memphis, Tennessee)  The National Civil Rights Museum is built on the site of the Lorraine Motel, where Martin Luther King was assassinated in this year",1968,200,,
62194,6176,2011-06-20,Jeopardy!,27 IS HEAVEN,$600,"In the King James Bible, these are the first & last of the 27 books of the New Testament",Matthew & Revelation,600,,
62423,5191,2007-03-19,Jeopardy!,A ROYAL SUM-UP,"$1,000",King from about 1347 to 1339 B.C., got famous (again) in 1922, got a CAT scan in 2005 (to see how he died),King Tut,1000
62429,5191,2007-03-19,Jeopardy!,A ROYAL SUM-UP,$800,"King of Judah from 873 to 849 B.C.; succeeded by son Jehoram; name now generally found after ""jumpin'""",Jehoshaphat,800,,
62462,5191,2007-03-19,Double Jeopardy!,WORLD CAPITALS,$2000,It's home to King Rama IX Royal Park,Bangkok,2000,,
62749,4260,2003-02-21,Double Jeopardy!,FRENCH HISTORY,$800,"Reigning from 1715 to 1774, he was the successor & great-grandson of the ""Sun King""",Louis XV,800,,
63449,5290,2007-09-14,Jeopardy!,"NEW YORK, NEW YORK",$600,In 1754 King's College was founded in New York City, today it's known as this Ivy League university,Columbia,600,
63501,4753,2005-04-13,Jeopardy!,A DAY'S CALORIES IN ONE MEAL,$200,"Double Whopper with cheese, King fries, large vanilla shake, Dutch apple pie",Burger King,200,,
63670,5565,2008-11-14,Double Jeopardy!,TEENS IN HISTORY,$1600,"King James VI of Scotland was kidnapped at age 15 while his mom, this queen, was a prisoner","Mary, Queen of Scots",1600,,
63730,4668,2004-12-15,Double Jeopardy!,BROADWAY,$1600,"(<a href=""http://www.j-archive.com/media/2004-12-15_DJ_10.jpg"" target=""_blank"">Cheryl of the Clue Crew stands on stage with giraffes at the New Amsterdam Theatre.</a>)  She was the first woman to win a Tony for best director of a musical when she won in 1998 for ""The Lion King""",Julie Taymor,1600,,
63787,3816,2001-03-19,Double Jeopardy!,"""U"" HAVE THE RIGHT",$600,Beaverdam Creek & Kings Peak are the low & high points of this state,Utah,600,,
63809,2350,1994-11-18,Jeopardy!,POP MUSIC,$200,"This American rocker's 1st Top Ten hit in the United Kingdom was ""Dancing in the Dark"" in 1985",Bruce Springsteen,200,,
63927,3043,1997-11-19,Jeopardy!,POLITICAL QUOTES,$200,"Louisiana ""Kingfish"" who reportedly said, ""The time has come for all good men to rise above principle""",Huey Long,200,,
64244,4337,2003-06-10,Double Jeopardy!,LET'S ROCK,$800,"In 1964 Indiana governor Matthew Welsh declared this Kingsmen song to be ""pornographic""","""Louie Louie""",800,,
64302,5771,2009-10-19,Double Jeopardy!,A GIFT FROM THE MONARCH,$800,"Lincoln accepted 2 tusks from the King of Siam, but turned down these animals, saying trains move goods just fine",elephants,800,,
64314,5771,2009-10-19,Double Jeopardy!,A GIFT FROM THE MONARCH,$1600,At a state dinner King Mohammed VI of this African land gave Clinton a jeweled dagger--useful for slicing the lamb,Morocco,1600,,
64401,5188,2007-03-14,Jeopardy!,BOOM GOES THE DYNAMITE!,$600,"In 2000, 5800 separate explosions brought down the <a href=""http://www.j-archive.com/media/2007-03-14_J_13.wmv"">Kingdome</a> in this city",Seattle,600,,
64413,5188,2007-03-14,Jeopardy!,BOOM GOES THE DYNAMITE!,$1000,"City Hall in this Magic Kingdom City (East) is seen <a href=""http://www.j-archive.com/media/2007-03-14_J_15.wmv"">here</a> going down in 1991",Orlando,1000,,
64544,4797,2005-06-14,Double Jeopardy!,AT THE BALLET,$800,Act II of this classic ballet takes place in the Kingdom of Sweets,The Nutcracker,800,,
64853,6151,2011-05-16,Double Jeopardy!,WAR STUFF,$1200,This King Henry's marriage to Elizabeth of York in 1486 helped bring the Wars of the Roses to an end,Henry VII,1200,,
64858,6151,2011-05-16,Double Jeopardy!,WHO'S THAT MAN?,$1600,"""The Man Who Would Be King""",Sean Connery,1600,,
64883,1290,1990-03-23,Jeopardy!,THE ROARING '20S,$300,"Among this jazz bandleader's recorded hits were ""King Porter Stomp"" & ""The Jelly Roll Blues""",Jelly Roll Morton,300,,
65043,2977,1997-07-08,Double Jeopardy!,OPERETTAS,$800,"By the end of this Sigmund Romberg operetta, the title pupil has become the King of Karlsberg","""The Student Prince""",800,,
65081,3902,2001-07-17,Double Jeopardy!,"WILL SHAKESPEARE, SERIAL KILLER",$200,"In this play the question is, who's going to die--the King, the Queen, Ophelia & the title guy do",Hamlet,200,,
65165,4471,2004-02-02,Double Jeopardy!,FAMOUS CEMETERIES,$2000,This noted cemetery in Paris is named after the Jesuit father who was the confessor of King Louis XIV,the Pere (Father) Lachaise Cemetery,2000,,
65182,6017,2010-11-09,Jeopardy!,ROOMMATES,$600,"As a senator, this bachelor president roomed with future Vice President William King",James Buchanan,600,,
65307,4106,2002-06-10,Jeopardy!,AROUND THE BIBLE,$800,"I Kings uses ""slept with his fathers"" as a euphemism for this",died,800,,
65442,4214,2002-12-19,Double Jeopardy!,VICE PRESIDENTS,$400,"Wiliam King, Pierce's VP, used to be the roommate of this bachelor president",James Buchanan,400,,
65575,2581,1995-11-20,Double Jeopardy!,SHAKESPEARE,$600,This prince stabs King Claudius with a poisoned rapier,Hamlet,600,,
65693,3730,2000-11-17,Double Jeopardy!,TENNIS,$600,"(Hi, I'm Martina Navratilova and the answer is)  In 1973 Billie Jean King & Bobby Riggs played the first ""Battle of the Sexes""; I played this ""Bad Boy"" in 1992's battle",Jimmy Connors,600,,
65748,5719,2009-06-18,Double Jeopardy!,THE WRATH OF CAAN,$800,"In this film based on a Stephen King novel, Jimmy uses a statue to dispatch the woman who's been torturing him",Misery,800,,
65815,4580,2004-07-02,Double Jeopardy!,NEGATIVE THOUGHTS,$1200,"King Lear says of the dead Cordelia, ""Thou'lt come no more,"" this, this, this, this, this",never,1200,,
66404,2351,1994-11-21,Jeopardy!,"""A"" IN GEOGRAPHY",$500,This capital of South Australia was named for the wife of King William IV,Adelaide,500,,
66564,3195,1998-06-19,Jeopardy!,PEOPLE IN SONG,$200,The Kingston Trio told this “poor boy” to “hang down” his “head and cry”,Tom Dooley,200,,
66612,3195,1998-06-19,Double Jeopardy!,LONG LIVE THE KING,$1000,"Pedro I, emperor of Brazil, was the son of King John VI of this country",Portugal,1000,,
67042,1289,1990-03-22,Jeopardy!,"TV ""P""EOPLE",$200,"For 25 years this director of the St. Louis Zoo hosted ""Mutual Of Omaha's Wild Kingdom""",Marlon Perkins,200,,
67226,2930,1997-05-02,Jeopardy!,VIVA LAS VEGAS,$400,"In 1996 this hotel shut down its King Tut's Tomb to move it, so you'll have to wait to see your mummy",the Luxor,400,,
67246,2930,1997-05-02,Double Jeopardy!,MOVIE DEBUTS,$600,"He had hair in his 1st movie, ""Port of New York"", but not in his 2nd released film, ""The King and I""",Yul Brynner,600,,
67315,306,1985-11-11,Double Jeopardy!,“SOUTH”,$1000,"Helping to found it in 1957, Martin Luther King, Jr. headed this civil rights group until his death",Southern Christian Leadership Conference,1000,,
67319,3554,2000-02-03,Jeopardy!,TRAVEL & TOURISM,$100,Plush accommodations in this city include the King David Hotel near the Tower of David Museum,Jerusalem,100,,
67418,5850,2010-02-05,Double Jeopardy!,CIVIL RIGHTS HEROES,$1200,Martin Luther King's purpose in traveling to this city in March 1968 was to support striking sanitation workers,Memphis,1200,,
67479,3516,1999-12-13,Double Jeopardy!,QUEENS IN OPERA,$600,"In a Goldmark opera, King Solomon's favorite courtier falls for this Biblical queen",Queen of Sheba,600,,
67703,4608,2004-09-22,Double Jeopardy!,DESPOTPOURRI,$800,"After an anti-Roman uprising in 40 B.C., this despot fled to Rome, where the Senate elected him King of Judea",Herod (the Great),800,,
67716,4608,2004-09-22,Double Jeopardy!,WIDE WORLD OF WEIRD WORDS,$1600,"Meaning a silly or flighty person, this word with 2 sets of double ""B""s was a demon's name & mentioned in ""King Lear""",flibbertigibbet,1600,,
68060,3141,1998-04-06,Double Jeopardy!,PUNCHY WRITERS,"$1,900","He discussed Ali vs. Foreman in his book ""The Fight"" & in the 1996 film ""When We Were Kings""",Norman Mailer,1900,,
68187,3881,2001-06-18,Double Jeopardy!,AT THE MOVIES,$800,"In 1970 Richard Harris played this 17th century British ""protector"" at odds with King Charles I",Oliver Cromwell,800,,
68234,5779,2009-10-29,Double Jeopardy!,CLASSICAL MUSIC,$800,"LSO for short, it has recorded such works as Mahler's 8th, Sibelius' 2nd, ""Layla"" & ""King Of Pain""",the London Symphony Orchestra,800,,
68240,5779,2009-10-29,Double Jeopardy!,CLASSICAL MUSIC,$1200,"In 1864 this opera composer wrote an ""Homage March"" for brass band to honor his patron King Ludwig",Wagner,1200,,
68256,4585,2004-07-09,Jeopardy!,WORLD MUSEUMS,$200,I visited the national museum founded by King Rama V in this city & all I got was this lousy Thai-shirt,Bangkok,200,,
68259,4585,2004-07-09,Jeopardy!,WE THREE KINGS,$200,"Of King of Glory, King of Hell or King of Prussia, the one that's a city in Pennsylvania",King of Prussia,200,,
68351,3785,2001-02-02,Double Jeopardy!,GREEK MYTHOLOGY,$400,Perseus cut off the head of this gorgon & presented it to King Polydectes,Medusa,400,,
68357,3785,2001-02-02,Double Jeopardy!,GREEK MYTHOLOGY,$600,Achilles was killed when an arrow shot by this son of King Priam struck his heel,Paris (who was with Helen),600,,
68699,3433,1999-07-07,Jeopardy!,C IN HISTORY,$500,In 1594 France's King Henry IV was crowned in the Magnificent Cathedral in this city,Chartres,500,,
68706,3433,1999-07-07,Double Jeopardy!,"LITERARY CROSSWORD CLUES ""M""",$200,King Arthur's conjurer (6),Merlin,200,,
68748,5931,2010-05-31,Jeopardy!,A PARIS CHRONOLOGY,$600,"To defend Paris against attack, King Charles V built this grim fortress-prison in the 14th century",the Bastille,600,,
68948,4943,2006-02-22,Double Jeopardy!,LITERARY SUBTITLES,$400,"Dick King-Smith: ""The Gallant Pig""",Babe,400,,
69145,3939,2001-10-18,Double Jeopardy!,'60s POP QUIZ,$800,"This group's 1968 album ""Waiting for the Sun"" included a poem, ""The Celebration of the Lizard King""",The Doors,800,,
69148,3939,2001-10-18,Double Jeopardy!,HISTORY OF THE WORLD PART 5,$800,"Fleeing the Romans in 195 B.C., Hannibal took refuge with King Antiochus III in what's now this Mideast country",Syria,800,,
69150,3939,2001-10-18,Double Jeopardy!,ENGLISH LIT,$1000,It's the last name of father & son novelists Kingsley & Martin,Amis,1000,,
69187,3606,2000-04-17,Double Jeopardy!,POETS &  POETRY,$200,"""The Coming of Arthur"" & ""Gareth and Lynette"" are parts of his ""Idylls of the King""",Alfred Lord Tennyson,200,,
69331,3623,2000-05-10,Double Jeopardy!,TOUGH STUFF,$1000,"Translated as ""Land of the Kings"", this state is home to India's nuclear test sites & the world's largest camel fair",Rajahstan,1000,,
69360,3162,1998-05-05,Jeopardy!,NAME THAT COUNTRY,$600,"It grows a lot of barley; its national anthem is ""Long Live The King""; it's ruled by the man seen here (King Hussein)",Jordan,600,,
69390,3162,1998-05-05,Double Jeopardy!,MEN OF SCIENCE,$800,"The story goes, when asked to determine if King Hieron's crown was pure gold, this man figured out how to do it",Archimedes,800,,
69630,5074,2006-10-05,Double Jeopardy!,I WANNA BE...,$1600,...like Martin Luther King & the Dalai Lama & be honored with this humanitarian prize given in Oslo,the Nobel Peace Prize,1600,,
69821,5820,2009-12-25,Final Jeopardy!,CLASSICAL MUSIC,None,"A chorus in this 1741 work says, ""King of kings and Lord of lords and He shall reign forever and ever""",Handel's Messiah,0,,
69954,5393,2008-02-06,Jeopardy!,HAM LIT,$600,"In a Dick King-Smith novel, Ace is the great-grandson of this ""sheep-pig""",Babe,600,,
69977,5393,2008-02-06,Double Jeopardy!,LET'S SEE WHAT'S OVER THERE,$800,"Since a storm blew him around it, Dias named it the Cape of Storms; King John II later renamed it this",the Cape of Good Hope,800,,
70227,2994,1997-09-11,Double Jeopardy!,SHAKE YOUR BOOTY,$600,"The name of this ""merry"" pirate flag may have come from the title ""Ali Raja"", ""King of the Sea""",the Jolly Roger,600,,
70439,4,1984-09-13,Jeopardy!,TRIVIA,$300,"""Kingdom"" that Khrushchev couldn't visit in 1959 U.S. trip",the Magic Kingdom/Disneyland,300,,
70754,4837,2005-09-27,Double Jeopardy!,IT HAPPENED ONE KNIGHT,$800,"Born in 742, this King of the Franks led a 30-year conquest of Europe ""by the sword & the cross""",Charlemagne,800,,
70993,5878,2010-03-17,Double Jeopardy!,1900 EVENTS,$1600,"2 years after imposing martial law, King Umberto I of this country was assassinated by an anarchist",Italy,1600,,
71033,5921,2010-05-17,Jeopardy!,BRITISH AUTHORS,$1000,"In his memoir ""Experience"", he explores his relationship with his author-father Kingsley",Martin Amis,1000,,
71094,6005,2010-10-22,Jeopardy!,"""G"" MEN",$1000,His custom-made King Silver Flair trumpet is part of the Smithsonian collection,(Dizzy) Gillespie,1000,,
71261,4366,2003-09-08,Jeopardy!,PHOTOGRAPHERS,$800,"Julia Margaret Cameron's photos illustrated this poet's ""Idylls of the King"", & his photo is seen <a href=""http://www.j-archive.com/media/2003-09-08_J_04.jpg"" target=""_blank"">here</a>",Alfred Lord Tennyson,800,,
71526,5521,2008-09-15,Double Jeopardy!,PRESIDENTS & FIRST LADIES,$1200,"When King George VI visited this woman & her husband in 1939, she made news by serving hot dogs",Eleanor Roosevelt,1200,,
71653,2837,1996-12-24,Double Jeopardy!,MANSIONS,$1000,The Copper King Mansion stands in this Montana city where copper mining is still important,Butte,1000,,
71798,5270,2007-07-06,Jeopardy!,"""N"" THE ATLAS",$800,King Gyanendra reigns in this country that borders China,Nepal,800,,
71808,5270,2007-07-06,Jeopardy!,WHERE THERE'S A WILLIAM,$1000,"Number of the William who was England's ""Sailor King"" from 1830 to 1837",IV,1000,,
71835,5270,2007-07-06,Double Jeopardy!,CELEB BEFORE & AFTER,$2000,This recent King Kong actress was responsible for the civil unrest in South Central L.A. in 1965,Naomi Watts Riots,2000,,
71866,2921,1997-04-21,Jeopardy!,SONGS,$500,"He's ""badder than old King Kong, meaner than a junkyard dog""","Bad, Bad Leroy Brown",500,,
72004,5341,2007-11-26,Double Jeopardy!,2,$1200,The 2 books in the Old Testament with this man's name immediately precede the 2 books of Kings,Samuel,1200,,
72008,5341,2007-11-26,Double Jeopardy!,RAJAS,$1200,"Dating from around the 1st century B.C., this title of ""Great King"" ranks above your ordinary Raja",Maharaja,1200,,
72320,4513,2004-03-31,Jeopardy!,FIRST NAME'S THE SAME,$600,"King, Breyer, Hawking",Stephen,600,,
72520,4730,2005-03-11,Double Jeopardy!,AMERICAN PLACE NAMES,$400,"Immigrants from this country named a South Dakota county Haakon, in honor of King Haakon VII",Norway,400,,
72602,2754,1996-07-18,Double Jeopardy!,ANCIENT EGYPT,$1000,The Valley of the Kings lies on the western bank of the Nile opposite this ancient capital,Thebes,1000,,
72704,2971,1997-06-30,Double Jeopardy!,ANCIENT HISTORY,$400,"In 280 B.C. King Pyrrhus used these animals to trample the Roman infantry, perhaps giving Hannibal ideas",Elephants,400,,
72745,4340,2003-06-13,Jeopardy!,KEEP THE FAITH,$600,"Their magazine is called ""The Watchtower"" & their churches are called Kingdom Halls",Jehovah's Witnesses,600,,
73177,1227,1989-12-26,Jeopardy!,AUTOBIOGRAPHIES,$400,"Her book ""On The Other Hand"" opens with an open letter to King Kong",Fay Wray,400,,
73285,2816,1996-11-25,Jeopardy!,BOOKS & AUTHORS,$300,"A notorious 1820s murder inspired this author of ""All The King's Men"" to write ""World Enough and Time""",Robert Penn Warren,300,,
73300,2816,1996-11-25,Jeopardy!,THE OSCARS,$500,"A 6-time Best Actress nominee for such films as ""The King And I""; she received a honorary Oscar in 1994",Deborah Kerr,500,,
73355,6068,2011-01-19,Jeopardy!,EVERYDAY HEROES,$800,"2005 Natl. Teacher of the Year Jason Kamras did the math at a D.C. middle school named for this ""March King""",(John Philip) Sousa,800,,
73382,6068,2011-01-19,Double Jeopardy!,OPERA,$1600,"Carl Maria von Weber's 1826 opera about this king of the fairies was subtitled ""or, the Elf King's Oath""",Oberon,1600,,
73650,3093,1998-01-28,Jeopardy!,AMERICANA,$400,"Many a tall tale has been spun about this bruisin' & brawlin' ""King of the Keelboatmen""",Mike Fink,400,,
73767,5975,2010-07-30,Jeopardy!,HERE COMES THE SUN KING,$800,"This ""Candide"" writer portrayed the grandeur of the Sun King in his ""Age Of Louis  XIV""",Voltaire,800,,
74005,5847,2010-02-02,Jeopardy!,SHAKESPEARE'S WOMEN,$800,King Lear's daughter Cordelia has these 2 older sisters,Goneril and Regan,800,,
74070,5509,2008-07-17,Jeopardy!,NEBRASKA: THE GOOD LIFE,$1000,"It's not such a good life in this ""corny"" tale that Stephen King set in Nebraska, not Maine",Children of the Corn,1000,,
74206,5444,2008-04-17,Double Jeopardy!,IT'S ONLY MONEY,$800,"The first of these monetary units was issued in 1360 by King Jean II, right after his release from English captivity",francs,800,,
74220,5444,2008-04-17,Double Jeopardy!,"""I"" OPENERS",$1600,"It can be a short pastoral poem, or a longer epic one like Tennyson's ""of the King""",an idyll,1600,,
74235,2757,1996-09-03,Jeopardy!,WORLD HISTORY,$200,Barons & churchmen drew up this 1215 document to reduce the power of England's King John,The Magna Carta,200,,
74470,4626,2004-10-18,Double Jeopardy!,THE LION KING ON BROADWAY,$400,"(<a href=""http://www.j-archive.com/media/2004-10-18_DJ_02.jpg"" target=""_blank"">Cheryl of the Clue Crew announces, ""I'm here on the Broadway set of <i>The Lion King</i>.""</a>)  It's a memorable moment in ""The Lion King"" when this baby lion cub is presented to the world atop Pride Rock",Simba,400,,
74476,4626,2004-10-18,Double Jeopardy!,THE LION KING ON BROADWAY,$800,"(<a href=""http://www.j-archive.com/media/2004-10-18_DJ_04.jpg"" target=""_blank"">Jimmy of the Clue Crew delivers the clue from the set of <i>The Lion King</i>.</a>)  Many of the costumes and sets in ""The Lion King"" were inspired by the art of this continent, where the show is set",Africa,800,,
74481,4626,2004-10-18,Double Jeopardy!,THE LION KING ON BROADWAY,$1200,"(<a href=""http://www.j-archive.com/media/2004-10-18_DJ_14.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue from the set of <i>The Lion King</i>.</a>)  The title of this famous song from ""The Lion King"" means ""no worries"" and it's Timon and Pumbaa's motto","""Hakuna Matata""",1200,,
74486,4626,2004-10-18,Double Jeopardy!,THE LION KING ON BROADWAY,$1600,"(<a href=""http://www.j-archive.com/media/2004-10-18_DJ_17.jpg"" target=""_blank"">Jimmy of the Clue Crew converses with a puppet on the set of <i>The Lion King</i>.</a>)  In the stage version of ""The Lion King"", Zazu is no birdbrain--he's the aide-de-camp to this lion, Simba's father (Zazu squawks ""Aide-de-camp!"")",Mufasa,1600,,
74491,4626,2004-10-18,Double Jeopardy!,THE LION KING ON BROADWAY,$2000,"(<a href=""http://www.j-archive.com/media/2004-10-18_DJ_18.jpg"" target=""_blank"">Cheryl of the Clue Crew delivers the clue from the set of <i>The Lion King</i>.</a>)  This ""Lion King"" song tells us ""the sun rolling high through the sapphire sky keeps great and small on the endless round""","""The Circle Of Life""",2000,,
75054,4803,2005-06-22,Double Jeopardy!,MARCH MADNESS,$400,"March 29, 1792: King Gustav III of this nation is assassinated at a masquerade ball",Sweden,400,,
75109,3247,1998-10-20,Jeopardy!,20th CENTURY NOVELS,$500,"Saul Bellow's title characters include Herzog, Humboldt & this man, ""The Rain King""",Henderson,500,,
75336,2986,1997-09-01,Jeopardy!,UNINTELLIGIBLE,$400,People had a tough time figuring out exactly what the lyrics were to this 1963 Kingsmen hit,"""Louie Louie""",400,,
75521,5310,2007-10-12,Jeopardy!,MUSICAL THEATRE,$1000,"The mask for this little hero of Broadway's ""The Lion King"" was designed without a lower jaw, like a Roman helmet",Simba,1000,,
75599,2119,1993-11-18,Double Jeopardy!,CLASSICAL COMPOSERS,$600,"His ""Water Music"" was performed during an aquatic fete held by King George I on the Thames July 17, 1717",G.F. Handel,600,,
75637,6141,2011-05-02,Jeopardy!,LIT STUDENTS,$800,"In an early Stephen King novel, she has the last laugh at Ewen High",Carrie,800,,
75638,6141,2011-05-02,Jeopardy!,JACKS OF ALL TRADES,$800,"Jack Cawthon, the ""Bar-B-Que King"" of this town, has a restaurant overlooking the Ryman Auditorium",Nashville,800,,
75996,5418,2008-03-12,Jeopardy!,THE WALTZ,$800,"Although known as the ""Waltz King"", he also composed many marches & well-known polkas",(Johann) Strauss,800,,
76002,5418,2008-03-12,Jeopardy!,THE WALTZ,$1000,Pee Wee King co-wrote this waltz & had a country hit with it in 1948, later it became a state song,"""The Tennessee Waltz""",1000,
76337,4636,2004-11-01,Double Jeopardy!,"SPECIAL ""K""",$2000,A plus for Minos was his being King of this on Crete,Knossos,2000,,
76441,4775,2005-05-13,Double Jeopardy!,"SEAN PENN, THIS IS YOUR MOVIE",$1200,You treated us like a King as LAPD officer Danny McGavin in this film,Colors,1200,,
76601,5059,2006-09-14,Jeopardy!,IT BORDERS ONLY ONE OTHER COUNTRY,$800,This nation borders only the United Kingdom,Ireland,800,,
77195,3656,2000-06-26,Jeopardy!,JUNE 26,$400,"He became King of England on June 26, 1483; just over 2 years later he was killed at Bosworth Field",Richard III,400,,
77250,5702,2009-05-26,Double Jeopardy!,EUROPEAN ART & ARTISTS,"$1,000","In a 2006 film Stellan Skarsgard played this Spanish painter, with Randy Quaid as King Carlos IV",Goya,1000,,
77560,4092,2002-05-21,Double Jeopardy!,ARE THE STARS OUT TONIGHT?,$1600,King Richard could tell you Regulus is the star that marks the heart of this constellation,Leo (the lion),1600,,
77990,3466,1999-10-04,Jeopardy!,BIBLICAL MULTIPLE CHOICE,$200,"Of Amos, Andy, Lum or Abner, the cousin of King Saul",Abner,200,,
78016,3466,1999-10-04,Double Jeopardy!,AFRICAN HISTORY,$200,The first of these structures was built for King Zoser in Saqqarah in the 27th Century B.C.,Pyramids,200,,
78444,4779,2005-05-19,Double Jeopardy!,WE RULE,$1200,In 1859 this King of Sardinia began his unification of the Italian peninsula,Victor Emmanuel II,1200,,
78514,3169,1998-05-14,Double Jeopardy!,STAMP ACT,$1000,"Jackie Robinson & this ""King of Ragtime"" have been featured on ""Black Heritage"" issues",Scott Joplin,1000,,
78629,4392,2003-10-14,Double Jeopardy!,1970s TV,$1600,John Houseman reprised his role as Prof. Charles Kingsfield on this TV series based on a 1973 film,The Paper Chase,1600,,
78679,3071,1997-12-29,Double Jeopardy!,ANNUAL EVENTS,$400,"Sedalia, Missouri has a June festival honoring this ""King of Ragtime"" who once studied music there",Scott Joplin,400,,
78737,5926,2010-05-24,Double Jeopardy!,TOOL WORDS & PHRASES,$400,"Ma'am, yes ma'am!  In 2009 Teresa King became the first woman to command the army's school for these training taskmasters",drill sergeants,400,,
78973,2945,1997-05-23,Double Jeopardy!,1996 BIOGRAPHIES,$200,"This escape artist who died in 1926 is called the ""World's Handcuff King"" in a new book by Kenneth Silverman",Harry Houdini,200,,
79039,5314,2007-10-18,Double Jeopardy!,THINK FAST,$800,"Disney's Animal Kingdom features a fast whitewater raft ride called, appropriately, Kali River these",rapids,800,,
79042,5314,2007-10-18,Double Jeopardy!,19TH CENTURY PEOPLE,$1200,"After King David Kalakaua died at the Palace Hotel in S.F. in 1891, this woman, his sister, became queen of Hawaii",Liliuokalani,1200,,
79281,5215,2007-04-20,Double Jeopardy!,BRITISH ROYALTY,$1200,"This mother of King Henry II tried ""waltzing"" onto the English throne but failed to get herself crowned",Matilda,1200,,
79352,1263,1990-02-14,Double Jeopardy!,THE BIBLE,$1000,"He was David's best friend & the son of David's worst enemy, King Saul",Jonathan,1000,,
79457,4230,2003-01-10,Double Jeopardy!,CONQUERORS,$800,"On Christmas Day 1066, he was crowned King of England, 72 days after defeating Harold at the Battle of Hastings",William the Conqueror,800,,
